LBTEST,LBTESTCD,LBSPEC
Basophils/Leukocytes,BASOLE,WHOLE BLOOD
Hematocrit,HCT,WHOLE BLOOD
MACRO-M,MACRO-M,PLASMA
Activated Partial Thromboplastin Time,APTT,PLASMA
Albumin/Globulin,ALBGLOB,Serum Cat
Potassium,K,Serum Cat
Sodium,SODIUM,Serum Cat
Platelet Clumps,PLATCLMP,WHOLE BLOOD
7-Ethoxycoumarin deethylase,ECOD,Liver Bio Chemie
Sodium,SODIUM,PLASMA
Nitrite,NITRITE,URINE
Magnesium,MG,SERUM
Erythrocyte Sedimentation Rate,ESR,BSG
Albumin/Globulin Quotient,AGQ_C,SERUM
Anisochromia,ANISOCHR,WHOLE BLOOD
Creatine Kinase,CK,WHOLE BLOOD
Urea,UREA,WHOLE BLOOD
Protein per sampling period UVOL,UPROUVOC,URINE
Creatinine,CREAT,Serum Rabbit
Chloride,CL,Serum Rabbit
Alkaline Phosphatase,ALP,Serum Rabbit
Metamyelocytes,METAMY,Blood smears
Total Plasma Cells,PLSTCE,Blood smears
Na-B,B-NA,URINE
LyTyp26,LYTYP26,WHOLE BLOOD
LyTyp07,LYTYP07,WHOLE BLOOD
Sediment Examination,SEDEXAM,URINE
Chenodeoxycholic acid,CDCA,PLASMA
Neutrophils Band Form,NEUTB,WHOLE BLOOD
Fibroblast Growth Factor 23,FGF23,PLASMA
Na*VOL-BW,U-NA-KVO,URINE
N-terminal propetptide of type 1 procollagen,PINP,Plasma EDTA
tartrate-resistant acid phosphatase 5b,TRACP5B,Plasma EDTA
ImFun07,IMFUN07,WHOLE BLOOD
LDH*UVOL,ULDH-UVO,URINE
Ery. Mean Corpuscular HGB Concentration,MCHC,PLASMA
Triple Phosphate Crystals,CYTRPHOS,URINE
Volume,VOLUME,URINE
Alkaline Phosphatase,ALP,PLASMA
Erythrocytes,RBC,PLASMA
Granular Casts,CSGRAN,URINE
Glucose,GLUC,SERUM
Triiodothyronine,T3,PLASMA
Gamma Glutamyl Transferase,GGT,PLASMA
Basophils,BASO,WHOLE BLOOD
Alanine Aminotransferase,ALT,SERUM
Large Unstained Cells,LGUNSCE,WHOLE BLOOD
Creatinine,CREAT,SERUM
Hypersegmented Cells,HYPSEGCE,PLASMA
Neutrophils Band Form,NEUTB,PLASMA
Triglycerides,TRIG,Serum Cat
Magnesium,MG,Serum Cat
Hemoglobin Distribution Width,HDW,WHOLE BLOOD
Casts,CASTS,URINE
Magnesium,MG,PLASMA
PROT-Lav.,LV-PROT,LUNG
Microcytes,MICROCY,WHOLE BLOOD
Urate,URATE,URINE
Glutamate Dehydrogenase,GLDH,WHOLE BLOOD
Gamma Glutamyl Transferase,GGT,WHOLE BLOOD
Transparent droplets of different size,TRANDROP,URINE
Thyrotropin,TSH,WHOLE BLOOD
Aspartate Aminotransferase,AST,Serum Rabbit
Cholesterol,CHOL,Serum Rabbit
Triglycerides,TRIG,Serum Rabbit
Alanine Aminotransferase,ALT,Serum Rabbit
Glutamate Dehydrogenase,GLDH,Serum Rabbit
Neutrophils Band Form,NEUTB,Blood smears
"Neutrophils, Segmented",NEUTSG,Blood smears
LyTyp32,LYTYP32,WHOLE BLOOD
Erythropoiesis immature,BM02,Erythropoiesis immature
Mast cells,BM15,Mast cells
Eosinophil granulo immature,BM07,Eosinophil granulo immature
b C-reactive protein,BCRP,SERUM
Promyelocytes,PROMY,WHOLE BLOOD
"Parathyroid Hormone, Intact",PTHI,PLASMA
b LDL cholesterol,BLDLC,SERUM
Thyroxine,T4,PLASMA
Sodium,SODIUM,Serum Mouse
Myeloid/Erythroid Ratio,MYPCERPC,BONE MARROW
ImFun27,IMFUN27,WHOLE BLOOD
P-Amylase,AMYLASE,Research
pH,PH,URINE
Others1,OTHERS1,URINE
Yeast Cells,YEAST,URINE
b amylase,BAMYL,SERUM
b lipase,BLIP,SERUM
Alkaline Phosphatase,ALP,SERUM
Monocytes,MONO,WHOLE BLOOD
Eosinophils/Leukocytes,EOSLE,WHOLE BLOOD
Reticulocytes,RETI,WHOLE BLOOD
Thrombocytes,THROMNUC,WHOLE BLOOD
ATYP-LY,ATYP-LY,PLASMA
Myelocytes,MYCY,PLASMA
Pseudo eosinophile reticulum cells,PSEUDEOS,PLASMA
Target Cells,TRGTCE,PLASMA
HYPERC-M,HYPERC-M,PLASMA
"Neutrophils, Segmented",NEUTSG,PLASMA
Spherocytes,SPHERO,PLASMA
Beta Globulin,GLOBB,SERUM
Albumin,ALB,Serum Cat
Alkaline Phosphatase,ALP,Serum Cat
Lactate Dehydrogenase,LDH,Serum Cat
Creatinine,CREAT,Serum Cat
Phosphate,PHOS,URINE
Bilirubin,BILI,WHOLE BLOOD
Sodium,SODIUM,WHOLE BLOOD
Protein per mmol Creatinine urine,UPROCRC,URINE
Triglycerides,TRIG,LIVER
Lactic Acid,LACTICAC,SERUM
Basophilic Stippling,STIPBASO,Blood smears
HYPERC-M,HYPERC-M,Blood smears
Pseudo eosinophile reticulum cells,PSEUDEOS,Blood smears
Poikilocytes,POIKILO,Blood smears
Chloride,CL,URINE
P-B,B-P,URINE
Urea Nitrogen,UREAN,SERUM
Lactat urine,U-LACTAT,URINE
LyTyp23,LYTYP23,WHOLE BLOOD
LyTyp13,LYTYP13,WHOLE BLOOD
LyTyp29,LYTYP29,WHOLE BLOOD
Neutrophil granulo intermed,BM05,Neutrophil granulo intermed
Mitoses,BM17,Mitoses
Reticulum cells,BM16,Reticulum cells
Lyphocytes total,BM12,Lyphocytes total
P-Amylase,AMYLASE,PLASMA
Glucose,GLUC,Research
LACTAT,LACT-VB,LACT
MPC,MPC,PLASMA
Lithocholic acid,LCA,PLASMA
Neutrophils Band Form/Leukocytes,NEUTBLE,WHOLE BLOOD
EPO,EPO,Plasma Cat
Osteocalcin,OC,Plasma EDTA
ImFun08,IMFUN08,WHOLE BLOOD
ImFun25,IMFUN25,WHOLE BLOOD
Hemoglobin  A1c %,HBA1C%,PLASMA
GGT*UVOL,U-GGTUVO,URINE
LDH/CREA,U-LDH/CR,URINE
Round Epithelial Cells,EPIROCE,URINE
Occult Blood,OCCBLD,URINE
Protein,PROT,PLASMA
Leukocytes,WBC,URINE
Ketone Bodies,KETONEBD,URINE
Albumin/Globulin,ALBGLOB,SERUM
Protein,PROT,Serum Cat
P-Amylase,AMYLASE,Serum Cat
Platelet Distribution Width,PDW,WHOLE BLOOD
Epoxide Hydrolase,EH,Liver Bio Chemie
Free HB,FRHB,PLASMA
P-Amylase,AMYLASE,SERUM
UDP-Glucuronyltransferase,UGT,LIVER
"Glutathione S-Transferase, Total",GST,LIVER
GGT Lavage,LAV-GGT,LUNG
Turbidity,TURB,URINE
Macrocytes,MACROCY,WHOLE BLOOD
Bilirubin,BILI,Serum Rabbit
Monocytes,MONO,Blood smears
Ca-B,B-CA,URINE
Osmolality,OSMLTY,SERUM
LyTyp06,LYTYP06,WHOLE BLOOD
LyTyp12,LYTYP12,WHOLE BLOOD
LyTyp11,LYTYP11,WHOLE BLOOD
